Date,Open,High,Low,Close,Volume
07/01/2022,"142.70","143.49","133.77","138.93","373,781,672"
06/24/2022,"133.42","141.91","133.32","141.66","315,960,328"
06/17/2022,"132.87","137.34","129.04","131.56","541,006,204"
06/10/2022,"147.03","149.87","137.06","137.13","354,396,348"
06/03/2022,"149.07","151.74","144.46","145.38","338,923,390"
05/27/2022,"137.79","149.68","137.14","149.64","495,921,758"
05/20/2022,"145.55","149.77","132.61","137.59","548,244,609"
05/13/2022,"154.93","156.74","138.80","147.11","686,227,304"
05/06/2022,"156.71","166.48","153.27","157.28","566,928,219"
04/29/2022,"161.12","166.20","155.38","157.65","541,697,211"
04/22/2022,"163.92","171.53","161.50","161.79","376,787,751"
04/14/2022,"168.71","171.27","165.04","165.29","297,460,204"
04/08/2022,"174.57","178.49","169.20","170.09","393,176,718"
04/01/2022,"172.17","179.61","171.94","174.31","465,395,093"
03/25/2022,"163.51","175.28","163.02","174.72","446,083,610"
03/18/2022,"151.45","164.48","150.10","163.98","503,123,672"
03/11/2022,"163.36","165.02","154.50","154.73","521,334,157"
03/04/2022,"163.06","168.91","161.97","163.17","418,753,845"
02/25/2022,"164.98","166.69","152.00","164.85","414,293,735"
02/18/2022,"167.37","173.34","166.19","167.30","364,011,265"
02/11/2022,"172.86","176.65","168.04","168.64","412,902,055"
02/04/2022,"170.16","176.24","169.51","172.39","458,553,242"
01/28/2022,"160.02","170.35","154.70","170.33","688,670,703"
01/21/2022,"171.51","172.54","162.30","162.41","400,253,140"
01/14/2022,"169.08","177.18","168.17","173.07","422,655,625"
01/07/2022,"177.83","182.94","171.03","172.17","482,162,352"
12/31/2021,"177.09","181.33","177.07","177.57","340,248,122"
12/23/2021,"168.28","176.85","167.46","176.28","359,176,883"
12/17/2021,"181.12","182.13","169.69","171.14","769,789,875"
12/10/2021,"164.29","179.63","164.28","179.45","569,227,694"
12/03/2021,"159.37","170.30","157.80","161.84","669,981,642"
11/26/2021,"161.68","165.70","156.36","156.81","359,933,179"
11/19/2021,"150.37","161.02","149.34","160.55","462,419,313"
11/12/2021,"151.41","151.57","147.48","149.99","281,799,852"
11/05/2021,"148.99","152.43","147.80","151.28","324,080,277"
10/29/2021,"148.68","153.17","146.41","149.80","392,739,996"
10/22/2021,"143.45","150.18","143.16","148.69","340,691,305"
10/15/2021,"142.27","144.90","139.20","144.84","354,098,227"
10/08/2021,"143.06","144.22","142.56","142.90","120,505,820"
10/01/2021,"145.47","145.96","139.11","142.65","441,421,313"
09/24/2021,"143.80","147.47","141.27","146.92","394,033,234"
09/17/2021,"150.63","151.42","145.76","146.06","492,884,875"
09/10/2021,"154.97","157.26","148.70","148.97","354,897,399"
09/03/2021,"149.00","154.98","148.61","154.30","386,760,937"
08/27/2021,"148.31","150.86","146.83","148.60","272,129,134"
08/20/2021,"148.54","151.68","144.50","148.19","429,624,476"
08/13/2021,"146.20","149.44","145.30","149.10","299,579,344"
08/06/2021,"146.36","148.05","145.18","146.14","284,559,336"
07/30/2021,"148.27","149.83","142.54","145.86","423,324,004"
07/23/2021,"143.75","148.72","141.67","148.56","441,563,672"
07/16/2021,"146.21","150.00","143.63","146.39","504,249,353"
07/09/2021,"140.07","145.65","140.07","145.11","418,559,704"
07/02/2021,"133.41","140.00","133.35","139.96","321,360,121"
06/25/2021,"130.30","134.64","129.21","133.11","354,155,886"
06/18/2021,"127.82","132.55","127.07","130.46","457,142,812"
06/11/2021,"126.17","128.46","124.83","127.35","327,048,043"
06/04/2021,"125.08","126.16","123.13","125.89","278,314,492"
05/28/2021,"126.01","128.32","124.55","124.61","357,615,063"
05/21/2021,"126.82","128.00","122.86","125.43","386,224,032"
05/14/2021,"129.41","129.54","122.25","127.45","514,165,586"
05/07/2021,"132.04","134.07","126.70","130.21","453,802,304"
04/30/2021,"134.83","137.07","131.07","131.46","501,621,453"
04/23/2021,"133.51","135.53","131.30","134.32","421,246,954"
04/16/2021,"132.52","135.00","130.63","134.16","444,178,813"
04/09/2021,"123.87","133.04","123.07","133.00","447,820,454"
04/01/2021,"121.65","124.18","118.86","123.00","359,904,047"
03/26/2021,"120.33","124.24","118.92","121.21","488,825,836"
03/19/2021,"121.41","127.22","119.68","119.99","626,770,367"
03/12/2021,"120.93","123.21","116.21","121.03","586,977,242"
03/05/2021,"123.75","128.72","117.57","121.42","663,456,719"
02/26/2021,"128.01","129.72","118.39","121.26","685,989,194"
02/19/2021,"135.49","136.01","127.41","129.87","363,187,148"
02/12/2021,"136.03","137.88","133.69","135.37","345,543,144"
02/05/2021,"133.75","137.42","130.93","136.76","439,302,992"
01/29/2021,"143.07","145.09","130.21","131.96","716,990,998"
01/22/2021,"127.78","139.85","126.94","139.07","430,065,742"
01/15/2021,"129.19","131.45","126.86","127.14","483,029,124"
01/08/2021,"133.52","133.61","126.38","132.05","610,791,210"
12/31/2020,"133.99","138.79","131.72","132.69","441,102,211"
12/24/2020,"125.02","134.41","123.45","131.97","433,757,161"
12/18/2020,"122.60","129.58","121.54","126.66","621,758,188"
12/11/2020,"122.31","125.95","120.15","122.41","452,278,672"
12/04/2020,"116.97","123.78","116.81","122.25","543,809,250"
11/27/2020,"117.18","117.62","112.59","116.59","365,024,062"
11/20/2020,"118.92","120.99","116.81","117.34","389,493,359"
11/13/2020,"120.50","121.99","114.13","119.26","589,872,985"
11/06/2020,"109.11","119.62","107.32","118.69","609,571,804"
10/30/2020,"114.01","117.28","107.72","108.86","684,767,969"
10/23/2020,"119.96","120.42","114.28","115.04","519,569,624"
10/16/2020,"120.06","125.39","118.15","119.02","881,572,594"
10/09/2020,"116.25","117.00","114.59","116.97","183,984,046"
